ao,clave_ent,edo,homicidio,robocasa,robocalle,robocarro,extorsion,tasa_hom,tasa_rcasa,tasa_rcalle,tasa_rcarro,tasa_extor,desocupa,edad15a24,edad25a34,edad35a44,edad45mas,pob_tot,pibe,ingreso,pob_ext,pobreza
2015,1,Aguascalientes,211,2525,1754,1995,39,15.84,189.59,131.7,149.79,2.93,4.577627182,255649,211782,175356,296621,1331825,198220.6406,207024,2.09,31.58
2016,1,Aguascalientes,233,2459,1353,3110,70,17.19,181.43,99.83,229.47,5.16,3.973305941,258733,217183,178187,308198,1355321,211672.4688,203879,2.3,28.22
2017,1,Aguascalientes,258,3327,1949,3624,121,18.75,241.83,141.66,263.41,8.79,3.599153042,260495,222453,180840,320035,1375782,216705.5625,206760,2.18,25.99
2018,1,Aguascalientes,283,3355,2216,3309,138,20.28,240.36,158.76,237.07,9.89,3.626283884,261963,227600,183553,331996,1395794,224807.4688,222261,1.17,26.18
2019,1,Aguascalientes,269,2817,1780,2399,116,19,199.02,125.76,169.49,8.2,3.532176971,263225,232527,186443,344052,1415421,223622.4844,,,
2015,2,Baja California,1219,12999,6506,14138,221,36.3,387.13,193.76,421.05,6.58,4.123833179,616358,560622,486906,788562,3357794,511459.5313,222183,2.23,25.57
2016,2,Baja California,1503,11238,5987,16628,175,44.16,330.21,175.92,488.58,5.14,2.725225925,618612,569202,490840,820909,3403335,535552.625,241711,1.12,22.23
2017,2,Baja California,2430,9267,5682,20300,198,70.17,267.61,164.08,586.22,5.72,2.867129087,622350,581802,497297,855907,3462872,553327.1875,250712,0.62,20.74
2018,2,Baja California,3168,6914,4573,16106,135,89.97,196.35,129.87,457.4,3.83,2.573798895,625314,594091,503879,891209,3521242,565895.375,223622,1.63,23.26
2019,2,Baja California,3063,5559,5004,13995,218,85.59,155.34,139.83,391.08,6.09,2.526397943,627792,605793,510882,926657,3578561,576938.5,,,
2015,3,Baja California Sur,201,2469,0,1190,49,27.92,342.99,0,165.31,6.81,5.028854847,129015,123499,107806,164487,719846,130520.6406,218298,2.98,26.91
2016,3,Baja California Sur,272,2869,1,1848,139,36.91,389.28,0.14,250.75,18.86,4.605759144,130617,126350,110171,172386,736995,133948.6719,236420,1.61,22.13
2017,3,Baja California Sur,693,2881,74,1436,227,91.88,381.96,9.81,190.38,30.1,4.21519804,132272,129372,112403,180512,754270,148376.625,255037,0.79,18.37
2018,3,Baja California Sur,244,2394,35,1265,198,31.64,310.39,4.54,164.01,25.67,3.723215103,133723,132328,114599,188790,771294,173047.3594,259734,1.5,18.07
2019,3,Baja California Sur,168,2013,149,832,185,21.32,255.42,18.91,105.57,23.47,4.051825047,135029,135193,116807,197204,788119,160099.1406,,,
2015,4,Campeche,118,123,89,311,34,12.87,13.42,9.71,33.92,3.71,2.856489897,168400,153314,125511,213597,916832,637604.625,194749,9.14,43.61
2016,4,Campeche,167,80,56,713,18,17.89,8.57,6,76.38,1.93,3.603950024,169116,157206,127966,221109,933436,600612.25,186647,6.66,43.77
2017,4,Campeche,142,104,42,487,22,14.94,10.94,4.42,51.24,2.31,3.836827993,169628,161045,130794,228948,950458,537882.5625,180882,6.06,44.5
2018,4,Campeche,155,134,74,428,18,16.02,13.85,7.65,44.25,1.86,3.163336039,170028,164642,133716,236980,967319,529584.3125,181276,9.77,46.25
2019,4,Campeche,134,129,42,627,25,13.62,13.11,4.27,63.72,2.54,3.303875923,170412,167932,136774,245195,984046,518494.0625,,,
2015,5,Coahuila,535,3841,2638,1451,36,17.83,128.01,87.92,48.36,1.2,5.1504879,536143,462282,415185,738013,3000556,563928.4375,238709,2.87,28.15
2016,5,Coahuila,475,2577,1227,933,24,15.61,84.68,40.32,30.66,0.79,4.422844887,539305,468609,418262,763212,3043062,572243.625,204850,1.65,24.82
2017,5,Coahuila,476,2304,851,1047,21,15.42,74.61,27.56,33.91,0.68,4.388576031,541898,476221,420727,790195,3087852,601722.0625,185963,0.91,22.24
2018,5,Coahuila,480,1791,664,803,32,15.33,57.18,21.2,25.64,1.02,4.135859013,544024,483924,423063,817308,3132017,609051.25,220348,1.45,22.49
2019,5,Coahuila,449,1829,317,728,37,14.14,57.59,9.98,22.92,1.17,4.586030006,545839,491497,425563,844397,3175643,615589.625,,,
2015,6,Colima,222,1321,131,924,14,30.76,183.04,18.15,128.03,1.94,4.690514088,129689,119083,100410,177899,721696,95878.0625,200535,2.96,34.18
2016,6,Colima,597,2845,484,1516,60,81.26,387.25,65.88,206.35,8.17,4.100273132,130374,121779,102174,183983,734663,98576.21094,192606,2.61,33.63
2017,6,Colima,789,2328,215,1609,16,105.54,311.4,28.76,215.22,2.14,3.603662968,130773,124178,104108,190726,747603,102039.4297,187793,2.41,32.57
2018,6,Colima,725,2370,185,1272,55,95.35,311.71,24.33,167.3,7.23,3.196899891,131140,126395,106063,197584,760333,104474.8984,193318,2.39,30.87
2019,6,Colima,779,2184,173,1239,74,100.8,282.59,22.38,160.32,9.58,3.628122091,131535,128374,108081,204532,772842,108962.6484,,,
2015,7,Chiapas,1552,1874,1084,2045,217,29.24,35.31,20.42,38.53,4.09,3.038809061,1022446,816895,636011,1045450,5307819,287811.8438,97059,30.22,76.94
2016,7,Chiapas,1480,1615,1421,2676,164,27.44,29.94,26.34,49.61,3.04,3.098320961,1027371,835772,648275,1080052,5393944,287034.2813,96910,28.08,77.08
2017,7,Chiapas,1353,1318,1336,2975,159,24.69,24.05,24.38,54.29,2.9,2.677725077,1032853,853958,660858,1117385,5479352,277580.8438,97586,27.29,76.84
2018,7,Chiapas,1279,939,855,2488,184,22.99,16.88,15.37,44.72,3.31,2.732594013,1038563,871127,673705,1155519,5563869,271621.4375,98408,29.71,76.41
2019,7,Chiapas,1186,773,731,2334,138,21,13.69,12.94,41.33,2.44,3.319981098,1044799,886990,687077,1194282,5647532,265869.5938,,,
2015,8,Chihuahua,1286,3075,1235,4607,11,35.56,85.03,34.15,127.39,0.3,3.817831039,652400,563958,497833,890078,3616481,510642.9063,190585,4.77,32.93
2016,8,Chihuahua,1547,2816,834,3931,23,42.39,77.16,22.85,107.72,0.63,3.201200008,654063,570626,499019,918611,3649416,534205.5625,200729,3.22,30.61
2017,8,Chihuahua,1908,3682,907,4542,16,51.72,99.8,24.58,123.11,0.43,2.745340109,656572,579250,501291,950102,3689398,551497.3125,205791,2.07,28.15
2018,8,Chihuahua,2087,3132,581,5058,8,55.98,84.01,15.58,135.68,0.21,3.123899937,658723,587646,503678,981448,3727984,562599.25,203138,2.61,26.28
2019,8,Chihuahua,2449,3110,568,4787,18,65.04,82.6,15.09,127.13,0.48,3.01718092,660689,595580,506497,1012470,3765325,574460.5,,,
2015,9,Ciudad de Mexico,1585,5561,12839,12609,639,17.5,61.39,141.73,139.19,7.05,5.443256855,1452334,1493705,1379051,2901279,9058734,2869793,300275,1.63,27.82
2016,9,Ciudad de Mexico,1594,6285,14396,11644,608,17.61,69.42,159,128.61,6.72,5.077649117,1428035,1493736,1373497,2969246,9053990,2957233.5,289548,1.76,27.6
2017,9,Ciudad de Mexico,1816,6629,14932,11107,490,20.07,73.26,165.01,122.74,5.41,4.613211155,1402296,1491974,1370212,3033800,9049086,3045539.75,284440,1.87,28.31
2018,9,Ciudad de Mexico,1982,7557,27783,14045,536,21.92,83.58,307.29,155.34,5.93,4.488451958,1376274,1488138,1366814,3097227,9041395,3128247.75,290639,1.75,30.55
2019,9,Ciudad de Mexico,1998,6837,17380,12949,856,22.12,75.7,192.44,143.38,9.48,5.070641994,1350696,1481796,1363784,3159190,9031213,3123924.75,,,
2015,10,Durango,494,2671,819,1554,62,27.73,149.92,45.97,87.23,3.48,4.99890995,327572,270594,228735,424989,1781575,192888.0938,160400,4.02,39.3
2016,10,Durango,464,2811,560,1156,49,25.75,156,31.08,64.15,2.72,4.523076057,328488,275464,230855,437271,1801963,200660.9688,168642,2.77,35.99
2017,10,Durango,441,3319,586,1314,72,24.24,182.41,32.21,72.22,3.96,3.770760059,328889,280191,232663,450228,1819494,199559.3125,171594,2.02,34.88
2018,10,Durango,408,3121,568,1149,74,22.22,169.95,30.93,62.57,4.03,4.281761169,329240,284743,234514,463235,1836460,202546.9844,163305,2.22,37.35
2019,10,Durango,365,3144,488,958,114,19.7,169.68,26.34,51.7,6.15,4.151238918,329684,288984,236555,476225,1852952,204478.9531,,,
2015,11,Guanajuato,2398,4411,250,5457,8,40.43,74.38,4.22,92.01,0.13,4.736203194,1120097,946643,781083,1351167,5930618,653849.9375,187833,4.89,45.04
2016,11,Guanajuato,2572,3998,90,5326,4,42.88,66.66,1.5,88.8,0.07,4.015804768,1121458,964415,791737,1392380,5997487,673328.3125,227379,4.38,42.36
2017,11,Guanajuato,3366,3355,132,4944,4,55.56,55.38,2.18,81.6,0.07,3.455467939,1118557,979347,801018,1436262,6058569,704179.4375,233962,4.13,40.99
2018,11,Guanajuato,4298,2847,209,4150,13,70.26,46.54,3.42,67.84,0.21,3.466681957,1115217,992946,810194,1480552,6117205,712902.4375,164562,4.25,43.38
2019,11,Guanajuato,4494,4858,203,4538,18,72.79,78.69,3.29,73.51,0.29,3.750880003,1111907,1004888,819712,1525090,6173718,711293.5,,,
2015,12,Guerrero,2721,721,572,4290,144,76.08,20.16,15.99,119.95,4.03,2.105954885,673389,524139,423078,845655,3576592,229580.5625,121467,22.71,64.14
2016,12,Guerrero,2844,530,493,4352,199,79.06,14.73,13.7,120.98,5.53,2.049649954,671687,532559,426397,864787,3597311,234185.0313,111178,22.96,64.41
