anio,clave_ent,nombre_ent,ingcor_anual
2016,1,Aguascalientes,203879
2016,2,Baja California,241711
2016,3,Baja California Sur,236420
2016,4,Campeche,186647
2016,5,Coahuila,204850
2016,6,Colima,192606
2016,7,Chiapas,96910
2016,8,Chihuahua,200729
2016,9,Ciudad de Mexico,289548
2016,10,Durango,168642
2016,11,Guanajuato,227379
2016,12,Guerrero,111178
2016,13,Hidalgo,139436
2016,14,Jalisco,212427
2016,15,Mexico,174051
2016,16,Michoacan,133647
2016,17,Morelos,160237
2016,18,Nayarit,177662
2016,19,Nuevo Leon,401182
2016,20,Oaxaca,103772
2016,21,Puebla,137999
2016,22,Queretaro,227068
2016,23,Quintana Roo,220233
2016,24,San Luis Potosi,152542
2016,25,Sinaloa,196878
2016,26,Sonora,239135
2016,27,Tabasco,155929
2016,28,Tamaulipas,195767
2016,29,Tlaxcala,142812
2016,30,Veracruz,127445
2016,31,Yucatan,182260
2016,32,Zacatecas,150466
