anio,clave_ent,ingcor_anual
2015.0,01,207024.33901333335
2016.0,01,203879.0
2017.0,01,206759.82258666668
2018.0,01,222261.0
2015.0,02,222182.68676374998
2016.0,02,241711.0
2017.0,02,250712.36051125004
2018.0,02,223622.0
2015.0,03,218297.64895583334
2016.0,03,236420.0
2017.0,03,255037.4794941667
2018.0,03,259734.0
2015.0,04,194749.4620454167
2016.0,04,186647.0
2017.0,04,180882.07152958337
2018.0,04,181276.0
2015.0,05,238708.63137083338
2016.0,05,204850.0
2017.0,05,185963.13937916665
2018.0,05,220348.0
2015.0,06,200535.15058333334
2016.0,06,192605.99999999997
2017.0,06,187792.54441666667
2018.0,06,193318.0
2015.0,07,97058.654844875
2016.0,07,96910.0
2017.0,07,97585.774852625
2018.0,07,98408.0
2015.0,08,190584.85888208332
2016.0,08,200729.0
2017.0,08,205790.5400929167
2018.0,08,203138.0
2015.0,09,300275.42788624996
2016.0,09,289548.0
2017.0,09,284439.55783875
2018.0,09,290639.0
2015.0,10,160399.55473083333
2016.0,10,168642.0
2017.0,10,171594.47921916668
2018.0,10,163305.0
2015.0,11,187832.66038208333
2016.0,11,227379.0
2017.0,11,233962.41859291666
2018.0,11,164562.0
2015.0,12,121466.79121
2016.0,12,111178.0
2017.0,12,103954.08899000002
2018.0,12,108444.0
2015.0,13,140552.94867416663
2016.0,13,139436.0
2017.0,13,141840.94347583334
2018.0,13,150282.0
2015.0,14,211795.28406499999
2016.0,14,212427.0
2017.0,14,215316.33123500002
2018.0,14,218304.0
2015.0,15,179597.94577041664
2016.0,15,174051.0
2017.0,15,171093.92230458334
2018.0,15,172902.0
2015.0,16,133308.9115125
2016.0,16,133647.0
2017.0,16,139185.6387375
2018.0,16,150941.0
2015.0,17,168678.17981333332
2016.0,17,160237.0
2017.0,17,152263.17778666667
2018.0,17,150123.0
2015.0,18,176237.84952416664
2016.0,18,177662.0
2017.0,18,178449.36962583335
2018.0,18,178553.0
2015.0,19,329547.8243025
2016.0,19,401182.0
2017.0,19,411232.8257475
2018.0,19,288318.0
2015.0,20,106105.01384291667
2016.0,20,103772.0
2017.0,20,102915.10168208335
2018.0,20,106327.0
2015.0,21,139457.51785708335
2016.0,21,137999.0
2017.0,21,137135.1206179167
2018.0,21,137302.0
2015.0,22,213642.94620250002
2016.0,22,227068.00000000003
2017.0,22,234967.73184750002
2018.0,22,216233.0
2015.0,23,211087.361495
2016.0,23,220233.0
2017.0,23,226746.65040500002
2018.0,23,223307.0
2015.0,24,156835.53092833332
2016.0,24,152541.99999999997
2017.0,24,153144.66297166666
2018.0,24,164805.0
2015.0,25,202316.31274916665
2016.0,25,196878.0
2017.0,25,194854.78090083334
2018.0,25,202851.0
2015.0,26,227822.36205666664
2016.0,26,239135.0
2017.0,26,239506.49974333338
2018.0,26,214927.0
2015.0,27,159420.12012791663
2016.0,27,155929.0
2017.0,27,151985.44709708332
2018.0,27,146301.0
2015.0,28,198761.68287916665
2016.0,28,195767.0
2017.0,28,190353.13137083338
2018.0,28,181031.0
2015.0,29,139060.41101791666
2016.0,29,142812.00000000003
2017.0,29,147130.47800708338
2018.0,29,151728.0
2015.0,30,126081.52899208333
2016.0,30,127445.0
2017.0,30,125484.11818291666
2018.0,30,112360.0
2015.0,31,181959.92291708334
2016.0,31,182260.0
2017.0,31,184981.23275791667
2018.0,31,191822.0
2015.0,32,141364.01008708333
2016.0,32,150466.0
2017.0,32,153314.8509879167
2018.0,32,140328.0
