anio,clave_ent,nombre_ent,pobreza,pobreza_ext
2008,1,Aguascalientes,37.63615536,4.1780967
2008,2,Baja California,25.96362237,3.3389821
2008,3,Baja California Sur,21.36131412,2.676382702
2008,4,Campeche,45.85783542,11.94870295
2008,5,Coahuila,32.71643926,3.091561973
2008,6,Colima,27.41040453,1.741886029
2008,7,Chiapas,77.01159786,38.70835107
2008,8,Chihuahua,32.07129864,6.690624808
2008,9,Ciudad de Mexico,27.61329189,2.117314404
2008,10,Durango,48.43783567,11.45456604
2008,11,Guanajuato,44.05845829,7.896557836
2008,12,Guerrero,68.44318249,32.4052466
2008,13,Hidalgo,55.18178684,15.33810433
2008,14,Jalisco,36.6930091,4.433438013
2008,15,Mexico,43.56563154,6.930587368
2008,16,Michoacan,55.47253312,15.38898306
2008,17,Morelos,48.82637715,8.716413526
2008,18,Nayarit,41.74583703,6.220737043
2008,19,Nuevo Leon,21.36540001,2.597983548
2008,20,Oaxaca,61.80338085,28.32211337
2008,21,Puebla,64.55152966,18.95495177
2008,22,Queretaro,35.21442964,5.46423374
2008,23,Quintana Roo,33.69056968,7.73386928
2008,24,San Luis Potosi,50.9351564,15.41494954
2008,25,Sinaloa,32.39354904,4.611512703
2008,26,Sonora,27.11696122,4.355431997
2008,27,Tabasco,53.82443474,15.789085
2008,28,Tamaulipas,33.84067823,4.845071291
2008,29,Tlaxcala,59.5779682,9.521400455
2008,30,Veracruz,51.19073652,16.84465546
2008,31,Yucatan,47.02696088,8.861124405
2008,32,Zacatecas,50.13156917,9.485610466
2010,1,Aguascalientes,38.13072739,3.766105964
2010,2,Baja California,31.52018733,3.372998027
2010,3,Baja California Sur,30.99468876,4.626029644
2010,4,Campeche,50.50499533,13.7844427
2010,5,Coahuila,27.81088375,2.936670932
2010,6,Colima,34.69284441,2.521097031
2010,7,Chiapas,78.48339641,38.2727021
2010,8,Chihuahua,38.80658796,6.560854824
2010,9,Ciudad de Mexico,28.54414622,2.164328635
2010,10,Durango,51.57416216,10.47442106
2010,11,Guanajuato,48.51229421,8.424002025
2010,12,Guerrero,67.5705711,31.8299258
2010,13,Hidalgo,54.66845508,13.47220927
2010,14,Jalisco,37.04973123,5.254719815
2010,15,Mexico,42.89141447,8.570672153
2010,16,Michoacan,54.72822304,13.49583767
2010,17,Morelos,43.24224363,6.934254311
2010,18,Nayarit,41.35729907,8.310177277
2010,19,Nuevo Leon,21.01755248,1.825776322
2010,20,Oaxaca,66.98741476,29.24532172
2010,21,Puebla,61.48310358,17.03122556
2010,22,Queretaro,41.4106304,7.420989008
2010,23,Quintana Roo,34.62680476,6.425883229
2010,24,San Luis Potosi,52.40058539,15.33851586
2010,25,Sinaloa,36.66869829,5.464621892
2010,26,Sonora,33.14891512,5.130542389
2010,27,Tabasco,57.09598006,13.56538722
2010,28,Tamaulipas,38.95118601,5.487197288
2010,29,Tlaxcala,60.3129024,9.914811692
2010,30,Veracruz,57.57912211,18.75738354
2010,31,Yucatan,48.32065429,11.71965384
2010,32,Zacatecas,60.24746847,10.84340216
2012,1,Aguascalientes,37.75885725,3.390189125
2012,2,Baja California,30.209376,2.736772282
2012,3,Baja California Sur,30.10883536,3.675580014
2012,4,Campeche,44.66415268,10.44819943
2012,5,Coahuila,27.92596317,3.23858731
2012,6,Colima,34.41588026,3.979785493
2012,7,Chiapas,74.68734437,32.17087878
2012,8,Chihuahua,35.25450124,3.775282468
2012,9,Ciudad de Mexico,28.9057484,2.467949057
2012,10,Durango,50.05666436,7.463547096
2012,11,Guanajuato,44.46664389,6.898392926
2012,12,Guerrero,69.69614924,31.71143793
2012,13,Hidalgo,52.77312074,9.961785687
2012,14,Jalisco,39.78909774,5.818793956
2012,15,Mexico,45.33437989,5.849744469
2012,16,Michoacan,54.3666227,14.44512214
2012,17,Morelos,45.45222838,6.313975519
2012,18,Nayarit,47.6253078,11.93222392
2012,19,Nuevo Leon,23.24678603,2.411737547
