ao	clave_ent	edo	homicidio	robocasa	robocalle	robocarro	secuestro	pob_tot
2015	1	"Aguascalientes"	211	2525	1754	1995	5	1.3e+06
2016	1	"Aguascalientes"	233	2459	1353	3110	2	1.4e+06
2017	1	"Aguascalientes"	258	3327	1949	3624	6	1.4e+06
2018	1	"Aguascalientes"	283	3355	2216	3309	10	1.4e+06
2019	1	"Aguascalientes"	269	2817	1780	2399	12	1.4e+06
2015	2	"Baja California"	1219	12999	6506	14138	11	3.4e+06
2016	2	"Baja California"	1503	11238	5987	16628	14	3.4e+06
2017	2	"Baja California"	2430	9267	5682	20300	13	3.5e+06
2018	2	"Baja California"	3168	6914	4573	16106	15	3.5e+06
2019	2	"Baja California"	3063	5559	5004	13995	10	3.6e+06
2015	3	"Baja California Sur"	201	2469	0	1190	0	719846
2016	3	"Baja California Sur"	272	2869	1	1848	0	736995
2017	3	"Baja California Sur"	693	2881	74	1436	3	754270
2018	3	"Baja California Sur"	244	2394	35	1265	0	771294
2019	3	"Baja California Sur"	168	2013	149	832	5	788119
2015	4	"Campeche"	118	123	89	311	6	916832
2016	4	"Campeche"	167	80	56	713	6	933436
2017	4	"Campeche"	142	104	42	487	6	950458
2018	4	"Campeche"	155	134	74	428	8	967319
2019	4	"Campeche"	134	129	42	627	3	984046
2015	7	"Chiapas"	1552	1874	1084	2045	10	5.3e+06
2016	7	"Chiapas"	1480	1615	1421	2676	15	5.4e+06
2017	7	"Chiapas"	1353	1318	1336	2975	21	5.5e+06
2018	7	"Chiapas"	1279	939	855	2488	24	5.6e+06
2019	7	"Chiapas"	1186	773	731	2334	21	5.6e+06
2015	8	"Chihuahua"	1286	3075	1235	4607	6	3.6e+06
2016	8	"Chihuahua"	1547	2816	834	3931	9	3.6e+06
2017	8	"Chihuahua"	1908	3682	907	4542	15	3.7e+06
2018	8	"Chihuahua"	2087	3132	581	5058	10	3.7e+06
2019	8	"Chihuahua"	2449	3110	568	4787	15	3.8e+06
2015	9	"Ciudad de México"	1585	5561	12839	12609	55	9.1e+06
2016	9	"Ciudad de México"	1594	6285	14396	11644	46	9.1e+06
2017	9	"Ciudad de México"	1816	6629	14932	11107	40	9.0e+06
2018	9	"Ciudad de México"	1982	7557	27783	14045	280	9.0e+06
2019	9	"Ciudad de México"	1998	6837	17380	12949	175	9.0e+06
2015	5	"Coahuila de Zaragoza"	535	3841	2638	1451	25	3.0e+06
2016	5	"Coahuila de Zaragoza"	475	2577	1227	933	21	3.0e+06
2017	5	"Coahuila de Zaragoza"	476	2304	851	1047	13	3.1e+06
2018	5	"Coahuila de Zaragoza"	480	1791	664	803	11	3.1e+06
2019	5	"Coahuila de Zaragoza"	449	1829	317	728	10	3.2e+06
2015	6	"Colima"	222	1321	131	924	4	721696
2016	6	"Colima"	597	2845	484	1516	4	734663
2017	6	"Colima"	789	2328	215	1609	4	747603
2018	6	"Colima"	725	2370	185	1272	16	760333
2019	6	"Colima"	779	2184	173	1239	16	772842
2015	10	"Durango"	494	2671	819	1554	6	1.8e+06
2016	10	"Durango"	464	2811	560	1156	11	1.8e+06
2017	10	"Durango"	441	3319	586	1314	15	1.8e+06
2018	10	"Durango"	408	3121	568	1149	6	1.8e+06
2019	10	"Durango"	365	3144	488	958	1	1.9e+06
2015	11	"Guanajuato"	2398	4411	250	5457	8	5.9e+06
2016	11	"Guanajuato"	2572	3998	90	5326	8	6.0e+06
2017	11	"Guanajuato"	3366	3355	132	4944	4	6.1e+06
2018	11	"Guanajuato"	4298	2847	209	4150	4	6.1e+06
2019	11	"Guanajuato"	4494	4858	203	4538	10	6.2e+06
2015	12	"Guerrero"	2721	721	572	4290	81	3.6e+06
2016	12	"Guerrero"	2844	530	493	4352	72	3.6e+06
2017	12	"Guerrero"	2868	449	442	4653	69	3.6e+06
2018	12	"Guerrero"	2716	362	169	4055	57	3.6e+06
2019	12	"Guerrero"	2032	307	236	3251	44	3.6e+06
2015	13	"Hidalgo"	651	1990	161	2976	19	2.9e+06
2016	13	"Hidalgo"	653	2040	187	3614	14	2.9e+06
2017	13	"Hidalgo"	700	2771	755	4808	21	3.0e+06
2018	13	"Hidalgo"	733	2722	752	5190	21	3.0e+06
2019	13	"Hidalgo"	646	2853	1163	4259	30	3.1e+06
2015	14	"Jalisco"	1736	4753	2254	8793	20	8.0e+06
